"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,474,748","+35,043","1,537,331",+184,"199,108,904","+53,531","13,828,513","15,464",,,,,,Asia
North America,"124,725,126","+12,817","1,612,592",+70,"120,020,408","+23,850","3,092,126","7,890",,,,,,North America
Europe,"246,559,822","+29,055","2,019,349",+66,"242,097,829","+29,348","2,442,644","6,481",,,,,,Europe
South America,"68,045,906","+3,213","1,350,925",+19,"66,293,845",+383,"401,136","10,186",,,,,,South America
Oceania,"14,023,976","+1,634","26,216",+3,"13,858,755","+1,280","139,005",55,,,,,,Australia/Oceania
Africa,"12,796,404",+78,"258,590",,"12,076,449",+117,"461,365",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"680,626,703","+81,840","6,805,018",+342,"653,456,896","+108,509","20,364,789","40,624","87,318",873.0,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,394,979","+2,481","1,146,735",+12,"102,861,683","+15,312","1,386,561","2,726","314,795","3,425","1,167,638,933","3,487,517","334,805,269",North America
India,"44,687,820",+324,"530,775",,"44,154,254",+219,"2,791",N/A,"31,769",377,"919,095,823","653,402","1,406,631,776",Asia
France,"39,638,159","+4,013","165,030",,"39,399,753","+2,448","73,376",869,"604,383","2,516","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,210,850",,"168,397",,"37,746,700","+3,900","295,753",N/A,"455,522","2,008","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,076,053",,"699,276",,"36,249,161",,"127,616",N/A,"172,164","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,251,497","+10,431","72,721",+81,"21,692,695","+3,387","11,486,081",131,"264,773",579,"95,589,075","761,151","125,584,838",Asia
S. Korea,"30,555,102","+11,121","34,020",+6,"30,350,687","+29,317","170,395",143,"595,269",663,"15,804,065","307,892","51,329,899",Asia
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770",Europe
UK,"24,370,154",,"206,952",,"24,099,465",,"63,737",N/A,"355,780","3,021","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,328,569","+14,049","396,255",+39,"21,668,320","+11,462","263,994",N/A,"153,139","2,718","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,770,429",,"119,479",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,962",+12,"43,186",,"10,614,788",,"868,988",3,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,094,732","+11,396","18,143",+71,"9,791,026","+17,137","285,563",,"422,575",759,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,598,182",,"22,992",,"8,559,864",,"15,326",53,"499,562","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,569,769",+286,"144,878",+11,"7,339,641",+69,"85,250",312,"87,997","1,684","55,034,937","639,771","86,022,837",Asia
Mexico,"7,470,128","+10,268","333,096",+58,"6,703,859","+6,988","433,173",N/A,"56,780","2,532","19,572,325","148,768","131,562,772",North America
Indonesia,"6,736,994",+207,"160,928",+3,"6,572,609",+277,"3,457",N/A,"24,135",577,"114,158,919","408,975","279,134,505",Asia
Poland,"6,431,888","+3,112","118,952",+11,"5,335,940",,"976,996",696,"170,427","3,152","38,306,928","1,015,028","37,739,785",Europe
Colombia,"6,360,089",,"142,629",,"6,183,658",,"33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762",South America
Austria,"5,936,806","+5,207","21,921",+2,"5,856,157","+6,109","58,728",72,"654,792","2,418","211,273,524","23,302,116","9,066,710",Europe
Greece,"5,871,458",,"36,185",,"5,811,707","+2,619","23,566",115,"569,125","3,507","102,228,365","9,909,078","10,316,637",Europe
Portugal,"5,568,084",,"26,180",,"5,538,074",,"3,830",61,"549,090","2,582","45,980,330","4,534,294","10,140,570",Europe
Ukraine,"5,389,439",,"111,235",,"5,265,577",,"12,627",,"124,778","2,575","32,603,805","754,855","43,192,122",Europe
Chile,"5,177,770","+2,819","64,222",+12,"5,101,501",,"12,047",83,"268,972","3,336","48,501,621","2,519,539","19,250,195",South America
Malaysia,"5,043,626",+170,"36,965",,"4,997,422",+178,"9,239",4,"152,003","1,114","68,255,672","2,057,067","33,181,072",Asia
Israel,"4,801,230",+317,"12,303",,"4,781,252",,"7,675",57,"514,822","1,319","41,373,364","4,436,346","9,326,000",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia
Thailand,"4,728,035",,"33,911",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203",Asia
Belgium,"4,727,795",,"33,775",,"4,661,070",,"32,950",43,"405,184","2,895","36,752,058","3,149,741","11,668,278",Europe
